name,address,data_type,register_type,length,scale,unit,description
tag_001,0,int16,holding_register,1,1,m³/h,流量计001瞬时流量
tag_002,1,int16,holding_register,1,1,m³/h,流量计002瞬时流量
tag_003,2,int16,holding_register,1,1,m³,流量计001累计流量
tag_004,3,int16,holding_register,1,1,m³,流量计002累计流量
tag_005,4,int16,holding_register,1,1,°C,流量计001温度
tag_006,5,int16,holding_register,1,1,°C,流量计002温度
tag_007,6,int16,holding_register,1,1,,流量计001运行状态
tag_008,7,int16,holding_register,1,1,,流量计002运行状态
tag_009,8,int16,holding_register,1,1,,流量计001报警代码
tag_010,9,int16,holding_register,1,1,,流量计002报警代码
tag_011,10,int16,holding_register,1,1,,流量计002报警代码
tag_012,11,int16,holding_register,1,1,,流量计002报警代码
tag_013,12,int16,holding_register,1,1,,流量计002报警代码
tag_014,13,int16,holding_register,1,1,,流量计002报警代码
tag_1000,0,int16,input_register,1,1,m³/h,流量计001瞬时流量
tag_1001,1,int16,input_register,1,1,m³/h,流量计002瞬时流量
tag_1002,2,int16,input_register,1,1,m³,流量计001累计流量
tag_1003,3,int16,input_register,1,1,m³,流量计002累计流量
tag_1004,4,int16,input_register,1,1,°C,流量计001温度
tag_1005,5,int16,input_register,1,1,°C,流量计002温度
tag_1006,6,int16,input_register,1,1,,流量计001运行状态
tag_1007,7,int16,input_register,1,1,,流量计002运行状态
tag_1008,8,int16,input_register,1,1,,流量计001报警代码
tag_1009,9,int16,input_register,1,1,,流量计002报警代码
tag_1010,10,int16,input_register,1,1,m³/h,"流量计 3瞬时流量"
tag_1011,11,int16,input_register,1,1,m³,"流量计  3 累计流量"
tag_1012,12,int16,input_register,1,1,m³/h,流量计004瞬时流量
tag_1013,13,int16,input_register,1,1,m³,流量计004累计流量
tag_1014,14,int16,input_register,1,1,,流量计004运行状态
tag_1015,15,int16,input_register,1,1,,流量计004报警代码
tag_1016,16,int16,input_register,1,1,,流量计003报警代码
tag_1017,17,int16,input_register,1,1,,流量计004报警代码
tag_1018,18,int16,input_register,1,1,m³/h,流量计001瞬时流量
tag_1019,19,int16,input_register,1,1,m³/h,流量计002瞬时流量
tag_1020,20,int16,input_register,1,1,m³,流量计001累计流量
tag_1021,21,int16,input_register,1,1,m³,流量计002累计流量
tag_1022,22,int16,input_register,1,1,°C,流量计001温度
tag_1023,23,int16,input_register,1,1,°C,流量计002温度
tag_1024,24,int16,input_register,1,1,,流量计001运行状态
tag_1025,25,int16,input_register,1,1,,流量计002运行状态
tag_1026,26,int16,input_register,1,1,,流量计001报警代码
tag_1027,27,int16,input_register,1,1,,流量计002报警代码
tag_1028,28,int16,input_register,1,1,m³/h,流量计003瞬时流量
tag_1029,29,int16,input_register,1,1,m³,流量计003累计流量
tag_1030,30,int16,input_register,1,1,m³/h,流量计004瞬时流量
tag_1031,31,int16,input_register,1,1,m³,流量计004累计流量
tag_1032,32,int16,input_register,1,1,m³/h,流量计005瞬时流量
tag_1033,33,int16,input_register,1,1,m³,流量计005累计流量
tag_1034,34,int16,input_register,1,1,m³/h,流量计006瞬时流量
tag_1035,35,int16,input_register,1,1,m³,流量计006累计流量
tag_1036,36,int16,input_register,1,1,,流量计006运行状态
tag_1037,37,int16,input_register,1,1,,流量计006报警代码
tag_1038,38,int16,input_register,1,1,m³/h,流量计007瞬时流量
tag_1039,39,int16,input_register,1,1,m³,流量计007累计流量
tag_1040,40,int16,input_register,1,1,m³/h,流量计008瞬时流量
tag_1041,41,int16,input_register,1,1,m³,流量计008累计流量
