name,address,data_type,register_type,length,scale,unit,description
flow_rate_001,0,int16,holding_register,1,1,m³/h,流量计001瞬时流量
flow_rate_002,1,int16,holding_register,1,1,m³/h,流量计002瞬时流量
total_flow_001,2,int16,holding_register,1,1,m³,流量计001累计流量
total_flow_002,3,int16,holding_register,1,1,m³,流量计002累计流量
flow_temperature_001,4,int16,holding_register,1,1,°C,流量计001温度
flow_temperature_002,5,int16,holding_register,1,1,°C,流量计002温度
flow_status_001,6,int16,holding_register,1,1,,流量计001运行状态
flow_status_002,7,int16,holding_register,1,1,,流量计002运行状态
flow_alarm_001,8,uint16,holding_register,1,1,,流量计001报警代码
flow_alarm_0021,0,bool,coil,1,1,,流量计0021报警开关
flow_alarm_0022,1,bool,coil,1,1,,流量计0022报警开关
flow_alarm_0023,2,bool,coil,1,1,,流量计0023报警开关
flow_alarm_0024,3,bool,coil,1,1,,流量计0024报警开关
flow_alarm_0025,4,bool,coil,1,1,,流量计0025报警开关
flow_alarm_0031,0,bool,discrete_input,1,1,,流量计0031报警开关
flow_alarm_0032,1,bool,discrete_input,1,1,,流量计0032报警开关
flow_alarm_0033,2,bool,discrete_input,1,1,,流量计0033报警开关
flow_alarm_0034,3,bool,discrete_input,1,1,,流量计0034报警开关
flow_alarm_0035,4,bool,discrete_input,1,1,,流量计0035报警开关
flow_alarm_0036,5,bool,discrete_input,1,1,,流量计0036报警开关
flow_alarm_0037,6,bool,discrete_input,1,1,,流量计0037报警开关
flow_alarm_0038,7,bool,discrete_input,1,1,,流量计0038报警开关
flow_alarm_0039,8,bool,discrete_input,1,1,,流量计0039报警开关
flow_alarm_0041,0,bool,input_register,1,1,,流量计0041报警开关
flow_alarm_0042,1,bool,input_register,1,1,,流量计0042报警开关
flow_alarm_0043,2,bool,input_register,1,1,,流量计0043报警开关
flow_alarm_0044,3,bool,input_register,1,1,,流量计0044报警开关
flow_alarm_0045,4,bool,input_register,1,1,,流量计0045报警开关
flow_alarm_0046,5,bool,input_register,1,1,,流量计0046报警开关
flow_alarm_0047,6,bool,input_register,1,1,,流量计0047报警开关
flow_alarm_0048,7,bool,input_register,1,1,,流量计0048报警开关
flow_alarm_0049,8,bool,input_register,1,1,,流量计0049报警开关
flow_alarm_0050,9,bool,input_register,1,1,,流量计0050报警开关
flow_alarm_0051,10,bool,input_register,1,1,,流量计0051报警开关
flow_alarm_0052,11,bool,input_register,1,1,,流量计0052报警开关
flow_alarm_0053,12,bool,input_register,1,1,,流量计0053报警开关
flow_alarm_0054,13,bool,input_register,1,1,,流量计0054报警开关
flow_alarm_0055,14,bool,input_register,1,1,,流量计0055报警开关
flow_alarm_0056,15,bool,input_register,1,1,,流量计0056报警开关
flow_alarm_0057,16,bool,input_register,1,1,,流量计0057报警开关
flow_alarm_0058,17,bool,input_register,1,1,,流量计0058报警开关
flow_alarm_0059,18,bool,input_register,1,1,,流量计0059报警开关
flow_alarm_0060,19,bool,input_register,1,1,,流量计0060报警开关 
flow_alarm_0061,20,bool,input_register,1,1,,流量计0061报警开关
flow_alarm_0062,21,bool,input_register,1,1,,流量计0062报警开关
flow_alarm_0063,22,bool,input_register,1,1,,流量计0063报警开关
flow_alarm_0064,23,bool,input_register,1,1,,流量计0064报警开关
flow_alarm_0065,24,bool,input_register,1,1,,流量计0065报警开关
flow_alarm_0066,25,bool,input_register,1,1,,流量计0066报警开关
flow_alarm_0067,26,bool,input_register,1,1,,流量计0067报警开关
flow_alarm_0068,27,bool,input_register,1,1,,流量计0068报警开关
flow_alarm_0069,28,bool,input_register,1,1,,流量计0069报警开关
flow_alarm_0070,29,bool,input_register,1,1,,流量计0070报警开关
flow_alarm_0071,30,bool,input_register,1,1,,流量计0071报警开关
flow_alarm_0072,31,bool,input_register,1,1,,流量计0072报警开关


